prompt,answer,f1
"When Rossini, ""the man of the north"", the foreigner of Pesaro arrived in Naples in 1815, the city was recovering from a series of political vicissitudes. Napoleonic domination (1806-1815) was over, but Ferdinand IV had not yet traced back to his throne, and secret societies, such as the Carbonaries, claimed the unification of Italy and were in every spotlight of turmoil. To this political resentment against Ferdinand IV, he responded the resentment of musical circles against the composer of twenty-three years arrived from Pesaro. An anti-Rousinian campaign unleaved by the faithful of Paisiello and Zaringelli.
-----
Question: How old was Rossini?
Answer: 23
-----
Question: What did Paisiello of Rossini say?
Answer: He was a licentious musician
-----
Question: What secret society was calling for the unification of Italy?
Answer:",The Carbonaries,0.0
"When Thorpe broke the 200 m Olympic record in the heats the following morning, his main rival Pieter van den Hoogenband declared ""I'm not really thinking about gold. I just want a medal and be present on the podium"". Despite the statements the Dutchman lowered his personal mark in his semifinal by a little over a second, surpassing Thorpe's record by just 16 centimes (1'45'35 min). Thorpe qualified only 2 centimes slower and found himself under great pressure to win the gold the next day after the two golds reached the first night.
-----
Question: How many golds did Thorpe get the first night?
Answer: two
-----
Question: Who was Thorpe's main rival?
Reply : Pieter van den Hoogenband
-----
Question: How was Thorpe to win the gold the next day?
Answer: Under High Pressure
-----
Question: What did Pieter van den Hoogenband lower in his semifinal?
Answer: your personal brand
-----
Question: Where did Pieter van den Hoogenband want to be present?
Answer:",on the podium,1.0
"In just nine days, Spanish politics has taken a turn. On Wednesday last week, the PP approved the budget with the support of Citizens and the PNV, but the next day the ruling of the Gürtel case was published and today Pedro Sánchez has been invested as the new president of the Spanish government. To achieve this, the support of sovereignist parties has been key, which have seen an opportunity in the eviction of Rajoy. The urgency has prevented us from building any deep negotiations, but the change of government draws new political hypotheses. We have spoken to representatives of the PDECat, ERC and Compromís. Gabriel Rufián (ERC): We do not know what kind of PSOE and how do you feel?
-----
Question: How many days has Spanish politics gone around?
Answer: New
-----
Question: Who have you invested today as president of the government?
Answer:",Pedro Sánchez:,1.0
"About 150 people who lived in nursing homes have died in Catalonia by Covid-19, as reported by the Minister of Health, Alba Vergés. In the residences of the Valencian Country, the Minister of Health, Ana Barceló, has detailed that 44 residents had died. The disease has been detected in 49 nursing homes, with 221 residents and 67 infected workers. In addition, about 400 workers are in quarantine. The most affected are the SARquavitae of Alcoy (26) and Santa Elena de Torrent (9). The residences, without material and doomed to the collapse of the daily press conference that is followed telematically, there are explained in these moments that Intens work in Catalonia (I)
-----
Question: How many workers in nursing homes have been infected?
Reply : 67
-----
Question: What are the residences for the elderly destined for?
Answer: to collapse
-----
Question: How many people have died in nursing homes in Valencia?
Answer:",44.44%,0.0
"The line is operated by Ferrocarril Metropolità de Barcelona under the brand of Transports Metropolitans de Barcelona (TMB). The L11 is a light metro, halfway between the tram and the conventional metro, served by 500 automatic, driverless and two-car trains instead of five. There are a total of two trains in peak hours and one in off-peak hours, with a frequency of 7 minutes and 13 minutes depending on the hour. Transports Metropolitans de Barcelona has three trains of two wagons of this series built by CAF. The trains are controlled from the Barcelona Metro Control Center in the Sagrera district.
-----
Question: How many cars do 500 series trains have?
Answer: two
-----
Question: How many trains are in peak hour?
Answer: two
-----
Question: Who is the line operated for?
Answer: Barcelona Metropolitan Railway
-----
Question: Where are 500 series trains controlled from?
Answer:",of the Barcelona Metro Control Center,0.888888888888889
"The Department of Interior will investigate a performance of the riots of the Mossos d’Esquadra at the airport of Barcelona, where a police van started with a protester perched on the front of the vehicle. A van of @mossos circulates with two protesters in the bonnet at the airport of El Prat. Video via @anonymous. It was this evening in the middle of the slides, launches and forceful police charges. More than 100 flights have been cancelled and thousands of passengers trapped to leave. pic.twitter.com/hNw7mhUepn — Anna Punsí (@pix) October 14, 2019 report, has agreed to the internal access, has been agreed to this action, has been determined by the protocols.
-----
Question: How many flights have been cancelled?
Answer: over 100
-----
Question: Why should the department examine the images?
Answer: to 'determine possible responsibilities, in accordance with the protocols of action'
-----
Question: Where did a police vehicle start with a demonstrator in the bonnet?
Answer:",at the Barcelona airport,0.0
"The Vall d’Hebron Maternal and Child Hospital has set another milestone: in July it did six pediatric transplants in just twenty-four hours (two of hepatics, two of kidneys, one of lung and one of cardiac). It had never been done before. ‘It is an extraordinary milestone in any hospital, but in a pediatric one it is even more’, says Dr. Teresa Pont, coordinator of Donation and Transplant Programs of the center, who finds this exceptional fact. He also wanted to highlight ‘the necessary logistics’ and the commitment of all the professionals who worked there. According to the hospital report in two cases, they preferred organs were not to receive a trayote and they would have been in a possible fact of the recipients.
-----
Question: How many paediatric transplants were done in 24 hours?
Answer: six
-----
Question: Who coordinates the Donation and Transplantation Programs?
Answer: Teresa Bridge
-----
Question: What was needed to make transplants possible?
Answer:",the understanding and altruism of the families of donors,0.3
"According to their figures we can count the number of workers that existed in Barcelona at that time: of the 54,000 workers, about 6,500 could be considered ""distinguished"", that is, that they could dress and educate themselves well. The others were shift workers. Cerdà established that the days of the day in Barcelona were, annually, of 269, and that the average daily salary of the worker was 8.55 reales. Only the most skilled, usually married, exceeded these salary figures. Comparing income and expenses, it turns out that only a worker placed in a textile factory, as a weaver of first category or second class, could attend to the expenses of the unforeseened marriage. But all the unforeseening expenses of the accident and the unforeseening of the unforeseen.
-----
Question: How many workers could be considered distinguished according to Cerdà?
Answer: 6,500
-----
Question: How many days of working day did Cerdà establish?
Reply : 269
-----
Question: What daily average salary did Cerdà establish?
Answer: 8.55 reales
-----
Question: Which workers exceeded the wage figure?
Answer:",the most skilled,0.0
"Der Zwerg is an opera in one act by Alexander von Zemlinsky to a libretto by Georg C. Klaren, based on The Birthday of the Infanta by Oscar Wilde. The work was composed between 1919 and 1921. The premiere was conducted by Otto Klemperer on 28 May 1922 at the Cologne Opera.
-----
Question: How many acts does Der Zwerg have?
Answer: a
-----
Question: Whose libretto is Der Zwerg?
Reply : Georg C. Klaren
-----
Question: Who composed Der Zwerg?
Reply : Alexander von Zemlinsky
-----
Question: When was Der Zwerg released?
Answer:","May 28, 1922",0.2222222222222222
"The genre of the farce, rather than a comic opera, should be considered as a resource of one act that served as a ""filling"" between the acts of a serious opera, although at Rossini's time this origin had been almost completely lost. The Teatro San Moisè specialized in the farce and, as a rule, presented two in a single night. In any case, L'inganno felice is not a comic opera, but a semiseria of one act, and is the precursor of Torvaldo e Dorliska and Matilde di Shabran, as well as its most well-known semiseria, Lagadrazza. The infaithfulness of the opera can be revered, but the ""ined"" in the last minute of the subject of her.
-----
Question: How many acts does L'inganno felice have?
Answer: a
-----
Question: What did the Teatro San Moisè specialize in?
Answer: in the farce
-----
Question: What do they unfairly accuse the faithful wife of the opera?
Answer: infidelity
-----
Question: What does the term semiseria refer to?
Answer:",bourgeois melodrama or rescue opera,0.0
"However, with the help of the French engineers, the methods were modernized, building steam engines, dredgers and excavators that would help in the works; so that it would no longer be necessary to get a lot of local labor and considerably reduced the work of spike and shovel. In addition, 15,000 new workers were recruited from various places such as France, Italy, Dalmatia, Syria and Arabia, who would help to resume the works during August 1866. With this help the project could be accelerated and finally on October 30, 1869 the waters of both seas would join just in the Great Lake Amarg, half the way. Ferdinand 195 km from the canal (in honor of the city of Suezado).
-----
Question: How many new workers were recruited?
Answer: 15,000
-----
Question: How were the working methods modernized?
Answer: Building steam machines, dredgers and excavators
-----
Question: What work would be reduced when using steam engines, dredgers and excavators?
Answer: spade and spade
-----
Question: Where did the 15,000 new recruited workers come from?
Answer:","from various places such as France, Italy, Dalmatia, Syria and Arabia",0.7058823529411764
"A bus on line 77 of the London public transport service crashed this Thursday against a shop in Wandsworth, in an incident that would seem to be a traffic accident, as reported by the emergency services of the British capital. The Metropolitan Police reported in a statement that the event took place around 7.00 (local time), for reasons that are still unknown. Six passengers have been injured and had to be treated on the site, while the driver has been transferred to a hospital. The Fire Department has indicated that there are currently two people trapped inside the vehicle, two floors. The traffic has been cut off in this area of south-west London, with the British media agreement.
-----
Question: How many passengers were injured when the bus on line 77 crashed into a shop?
Answer: Six
-----
Question: What has crashed a bus on line 77?
Answer: Against a Store
-----
Question: Where did they take the bus driver who crashed?
Answer:",in a hospital,0.28571428571428575
"The number of unemployed has decreased in the Balearic Islands and rises in the Principality and the Valencian Country. In January the unemployment in the islands fell by 2,503 people compared to the same month last year, which is a decrease of 3.99%. The number of unemployed in the first month of the year is 60,216, according to data from the Spanish Ministry of Labour. If it is compared in January this year with last December, unemployment in the islands increased by 0.56%, that is to say, 338 people without work. The Balearics are the only territory in the country where unemployment records a decrease. Both the Principality and the Valencian Country have recorded an increase during the first month of 2019.
-----
Question: How many unemployed were there in January?
Reply : 60.216
-----
Question: How many less unemployed are there in the Islands?
Answer:",2.503,0.0
"The Appeals Chamber of the Spanish Supreme Court has dismissed the appeals filed by the defenses of Oriol Junqueras, Jordi Turull, Josep Rull, Raül Romeva and Jordi Sànchez, so that it maintains the suspension of public functions of all five dictated by Judge Pablo Llarena. He suspended them as deputies in accordance with article 384 bis of the law of criminal prosecution, once the interlocutory of prosecution for rebellion was firm and had decreed the provisional prison. Lawyers appealed against the decision because they considered that the term 'rebellish individuals' could not be applied to political prisoners, given that there were rulings of the Spanish Constitutional Court that applied to the members of the investigation, but that they have also defended the three criminal acts of the magistrates who have committed. But it is not only that have ruled in the courts of the courts.
-----
Question: How many magistrates are in the Appeals Chamber?
Answer: three
-----
Question: To whom does the concept 'rebel individuals' apply in the resolutions of the Spanish Constitutional Court?
Answer: to members of armed bands
-----
Question: In accordance with what article did Judge Llarena suspend Oriol Junqueras for the exercise of the civil service?
Answer:",384 bis of the law of criminal prosecution,0.07446808510638298
"The metro has 270 stations and approximately 400 km of tracks (250 miles). It is the largest metro network in the world in terms of kilometers of tracks and number of stations. In 2007 a billion passengers were registered.
-----
Question: How many miles of track do you have?
Answer: 400
-----
Question: Where is this network located globally?
Answer: It is the world's largest subway network
-----
Question: How many stations are there?
Answer:",274,0.0
"King Henry II arranged for the creation of twelve perpetual chapels, dedicated to the celebration of masses and daily prayers for his soul; each priest would receive 4,500 morabatins per year. In 1382, John I expanded this privilege with a total of twenty-five chaplains and with more financial endowment for the chaplains, sacristans and guards; he also set guidelines for the election of the chaplain of Reyes Nuevos. Henry III, following the norm established by his predecessors, also founded seven new chaplains, although the large number of priests with obligation to say daily Mass was not only possible to satisfy; two new institutions were added, with the rest of San Pablo and had been increased in the three others.
-----
Question: How many annual Morabatins did each chapel receive?
Answer: 4,500
-----
Question: Who extended the chaplains to twenty-five?
Answer: Joan I
-----
Question: What were the perpetual chaplains dedicated to?
Answer: to the celebration of daily masses and prayers for his soul
-----
Question: How many new chaplains did Henry III found?
Answer:",seven of them,0.5
"The low economic investment in bioremedation of radionuclides is one of the main reasons why they are carried out with increasing recurrence. The cost assessment, compared to conventional abiotic-type strategies, is extremely favourable. The classic procedures – soil extractions, water pumping, drilling and excavation, asphalt coverage, ion exchange, etc. – and the consequent forced transport of large volumes of waste to nuclear cemeteries have ineffectual operating costs that are estimated to exceed £50 million in the United Kingdom and that in the US, with some 350 projects of this type and contemplate in progress without a thousand million technical dollars.
-----
Question: How many projects are underway in the US?
Answer: 350
-----
Question: How is the financial investment to perform radionuclide bioremedation treatments?
Answer: Low
-----
Question: What is extremely favorable?
Answer: Cost assessment
-----
Question: What is being done with increasing recurrence?
Answer: radionuclide bioremedation treatments
-----
Question: What is estimated in the United Kingdom that waste transport might cost?
Answer:",£50 million,1.0
"In the military naval field, Sirius is quite present. Seven ships of the British Royal Navy have been baptized HMS Sirius since the 18th century. The first, chartered originally in 1786, was the flagship of the First Fleet that sailed to Australia in 1788. The Royal Australian Navy then named a ship of its HMAS Sirius (O226) in honor of the old British flagship. Among the American ships there is a USNS Sirius (T-AFS-8). In civil navigation, the Italian linerage Sirius, dedicated to the transport of European emigrants to South America, shipwrecked off the coasts of Cape Palos Cartagena in Spain (incident) in 1906, in which was the most famous Sirisha pilot, was the US Navy's Sirius, and the first pilot, was the 8.
-----
Question: How many ships in the British Royal Navy have been named Sirius?
Answer: Seven
-----
Question: Who piloted the Lockheed Model 8 Sirius?
Reply : Charles Lindbergh
-----
Question: What happened to the Italian transatlantic Sirius?
Answer: Shipwrecked
-----
Question: What made Charles Lindbergh famous?
Answer: He was the first to cross the Atlantic Ocean without solo stops
-----
Question: Where did the first travel?
Answer:",to Australia,0.0
"If for now there were a new elections to the Parliament of Catalonia, independence could reach a maximum of 74 MPs, four above those they have now. The CEO projection indicates that they could reach a minimum of 69 MPs. Thus, ERC (33-35 seats) would tie as a first force with Citizens (33-35 seats) and would overcome Together for Catalonia (29-31 seats), second force on 21-D. The CUP for its part would rise from the 4 MPs, at an interval of 7-8. The PSC, for its part, would lose between one and two MPs, Catalonia in Common would maintain the eight that it now has and the PP, would be left with an interval between, and are the three people, is now, it has the support of the pro-00.
-----
Question: How many MPs would lose the PSC?
Answer: between one and two
-----
Question: What is the maximum projection of independence?
Answer:",74 Members,0.3333333333333333
"The Altarpiece with the Virgin and Saints is a 1470 Gothic work attributed to the painter Jaume Huguet. It is an altarpiece of personal devotion dedicated to the Virgin Mary. A silk sapientiae occupies the central image with a pose that reminds much the Virgin of the Altarpiece of the Epiphany, especially the hairstyle and childish expression of the face of the typically Huguetian Virgin. The central image is surrounded by two scenes of the cycle of the Passion of Christ and six images of saints.
-----
Question: How many saints surround the central image?
Answer: six
-----
Question: Who occupies the central image of the work?
Answer:",A silk sapientiae,0.0
"The oricterop looks vaguely like a pig, with a sturdy body and an arched back. This digitigrade animal has short but strong forelimbs. The hindlimbs have five toes each, but the forelimbs lack a polix. The toes have large, flattened blade-shaped nails, halfway between claws and hooves. In total, an antler pig weighs between 40 and 65 kg, with an average length of between 1 and 1.3 meters, although it can reach a length of 2.2 meters if the tail is counted, which can measure up to 70 centimeters. The females are slightly smaller than the males.
-----
Question: How many fingers have the hind legs of oricterop?
Answer: five
-----
Question: How is the body of oricterop?
Answer: Robust
-----
Question: What shape do oricterop nails look like?
Answer:",of flattened spade,0.36363636363636365
"Apart from Guillaume Tell (1829), which with five acts and ballet was subject to the demands of the Paris Opera, Semiramide is Rossini's longest opera. It has almost four hours of music and the first act, with more than two hours of duration, is probably the longest in the history of the opera. However, the opera itself has only thirteen numbers and one overture. The ensemble numbers are limited to the great blocks of the grand introduction (No. 1) and the first finale (7) as its counterpart, as well as the second finale (13). Conversely, the soloist numbers with six arias (2 and 4), with four chorus (5, 10 and 11) and four characters (the other) arrive at the finale, with the three main characters (Acemen) and the finale, the trio (A) at the finale, and the three more so many other (As).
-----
Question: How many numbers does Semiramide have?
Answer: thirteen
-----
Question: How many acts does Guillaume Tell have?
Answer: five
-----
Question: How do the main characters compete in Semiramide?
Answer: in duets
-----
Question: How many hours of music does Semiramide have?
Answer:","four,",0.0
"This room had to confirm the authority of the papacy and the interests of Julius II, who at that time was facing the Schismatic Council of Pisa. Raphael began his frescoes in 1511 and finished them in 1514. In the walls there are narrated four different episodes and on the vault four more biblicals, about the protection of God in the chosen village. A frieze decorated with twelve caryatids in monochrome color runs through the entire room.
-----
Question: How many episodes are narrated on the walls?
Answer: four
-----
Question: What are biblical episodes about?
Answer: God’s protection in the chosen people
-----
Question: What did Julius II face?
Answer: The Schismatic Council of Pisa
-----
Question: What year did Raphael frescoes start?
Answer:",1511,1.0
"80% of the buildings in Llorca, a city of 92,694 inhabitants, were affected by the earthquake; the technicians, after evaluating the status of each individually, marked them at the entrance according to the following color code: green if you could enter it, yellow if you could enter it with caution and only a few minutes to collect personal belongings, and red if it was forbidden to access it. However, the red mark in a house did not necessarily imply its demolition. Once a total of 26 teams of architects and surveyors reviewed the buildings of the municipality, 60% were declared habitable and about 700 buildings were marked in red.
-----
Question: How many buildings were marked in red?
Answer: about 700
-----
Question: How many buildings were affected by the earthquake?
Answer: 80%
-----
Question: What didn't the red mark imply?
Answer: your demolition
-----
Question: Where did the buildings mark according to color coding?
Answer:",at the entrance,0.0
"It has a total of 159 stations, 150 trains running at peak hour and a network of 119,0 kilometers in length. 22 stations correspond to other lines. The workforce is 3,567 people and in 2019 411 million trips were made in this network.
-----
Question: How many trains run at peak hour?
Answer: 150
-----
Question: How many workers does the staff have?
Reply : 3,567
-----
Question: How long is the network?
Answer: 119,0 kilometres
-----
Question: How many stations do you have?
Reply : 159
-----
Question: How many stations correspond to other lines?
Answer:",22,0.6666666666666666
"In experiments, the alpha decay of three oganesson atoms was observed. A fourth decay was also proposed by direct spontaneous fission. A half-life of 0.89 ms was calculated: 294Og becomes 290Lv by alpha decay. Since there were only three nuclei, this approximation has a great uncertainty, of 0.89+1.07−0.31 ms.
-----
Question: How many atoms is alpha decay detected in experiments?
Answer: three
-----
Question: How did the experiments propose a fourth alpha decay?
Answer: by direct spontaneous fission
-----
Question: What is observed in experiments?
Answer: alpha decay of three oganesson atoms
-----
Question: What is 294Og converted to by alpha decay?
Reply : 290Lv
-----
Question: How much is half-life calculated?
Answer:",0.89 ms,1.0
"Warhol sent Blum thirty-two canvases of 50.8 × 40.6 cm with representations of Campbell's soup cans, each portraying one of the different tastes available at that time. The thirty-two paintings are very similar: each is a realistic representation of the iconic white Campbell's soup can silkscreened on a white background. The paintings have minor variations on the names that indicate the taste of each soup. Most of these names are written in red letters; however, four varieties also bear other black letters, accompanying the red ones: the Clamderhow soup (Clamder) has the black letters of the soup (Black soup) that indicate the soup (Black soup) soup (Bomomomomomomomomomomomomomomomoms's's's' soup, which is based on the soup, ""Black soup"" (Black soups soups soups soups soup) under the soup) name; ""Betrone soup"" (Black soups soups"" (Black soup) have the
-----
Question: How many canvases did Warhol send him to Blum?
Answer: thirty-two
-----
Question: How are the thirty-two paintings?
Answer: very similar
-----
Question: What was represented on each of the thirty-two canvases?
Answer: one of the different tastes available at that time
-----
Question: How many varieties have words in parentheses with red letters?
Answer:",two,0.0
"The most famous and successful apostle was possibly Carl Peter Thunberg, who in 1770 embarked on an expedition that would last nine years. He stayed for three years in South Africa and then traveled to Japan. All foreigners in Japan were forced to remain on the island of Dejima, near Nagasaki, and Thunberg found it difficult to study the flora. However, he managed to convince some translators to bring him different plants, and also studied specimens found in the gardens of Dejima. Unfortunately for Linnaeus, he did not return to Sweden until 1779, a year after his death.
-----
Question: How many years will the expedition on which Carl Peter Thunberg embarked last?
Answer: New
-----
Question: Who was possibly the most famous and successful apostle?
Reply : Carl Peter Thunberg
-----
Question: On which Japanese island were all foreigners required to remain?
Reply : Dejima
-----
Question: When did Carl Peter Thunberg embark on the nine-year expedition?
Answer:",1717,0.0
"The widowed bailiff, teaching his children a Christmas carol, surprises two neighbors, Schmidt and Johann, because it is still July. Charlotte is dressed for a dance. Since his suitor, Albert, is away, he will be accompanied by Werther, who all consider a melancholic. Werther arrives and stays watching Charlotte prepares her brothers' dinner, work she does since her mother, recently, died. Werther greets Charlotte with a kiss; then they go to the dance. Albert returns unexpectedly after six months of travel. He is unsure about Charlotte's intentions and displeased not to find her, but Sophie gives her hope and finally comforts him. Albert Werther returns with her late love. Albert reveals that she will be married in the morning.
-----
Question: How many neighbors did the widower bailiff surprise?
Answer: two
-----
Question: Who's Charlotte's suitor?
Answer: Albert
-----
Question: How were the two neighbors who heard the Christmas carol?
Answer: Schmidt and Johann
-----
Question: What interrupted Werther's declaration of love?
Answer: Announcement of Albert's Return
-----
Question: Why were the two neighbors surprised when they heard the Christmas carol?
Answer:",because it's still July,0.0
"In the same year of Mendeleev's birth, his father, who was 51 years old, was blinded by cataracts and had to retire. As the pension was insufficient, his wife went to run the glass factory of his family in Aremziànskoye, 32 kilometers from Tobolsk. Maria descended from an affluent family that had settled in Tobolsk in the early 18th century and had introduced to Siberia the first manufactures of paper and glass. During Mendeleev's grandfather, he founded in 1787 the first Siberian newspaper, Irtysh. Mendeleev began to study at 7 years old, he was a good student of physical history, and he had been influenced by the artiscussty in Siberian society, and by the Greek religion. ""from the time he had been influenced by the Asygheinian king, and by the Greeks of the artispherevil, and by the artisagrets, and by the Greeks, and by his friends.""
-----
Question: How old was Mendeleev's father when he was born?
Answer: 51
-----
Question: Where was the glass factory located?
Reply : Aremziànskoie
-----
Question: What illness did Mendeleev's father have that blinded him?
Answer:",waterfalls,0.0
"MADRID, 9 (Europa PRESS) The Government of Cuba has announced a series of military maneuvers that will last for five days and that have among their objectives “fight the different actions of the enemy”, although the official note does not include allusions to any particular country. The Ministry of the Armed Forces has confirmed that between the 16th and 18th of November will take place the Strategic Exercise Bastió 2016 to “raise the readiness of the country for defense and the preparation of troops and the population to face the different actions of the enemy”. On 19 and 20th November, on the occasion of the National Days of the Defense, new maneuvers will be carried out with troops moving material and explosion cases. The Government has not ruled out the official situation of the Cuban president. The President Barack has not been promoted to the situation.
-----
Question: How many days will military manoeuvring take?
Answer: five
-----
Question: When will Bastió Strategic Exercise 2016 take place?
Answer:",November 16 and 18,0.3333333333333333
