prompt,answer,f1,predictions
"Quan Rossini, ""l'home del nord"", l'estranger de Pesaro arriba a Nàpols el 1815, la ciutat s'estava recuperant d'una sèrie de vicissituds  polítiques. La dominació napoleònica (1806-1815) s'havia acabat, però Ferran IV encara no havia remuntat al seu tron, i societats secretes, com els Carbonaris, reclamaven la unificació d'Itàlia i eren en tots els focus d'agitació. A aquest ressentiment polític contra Ferran IV, va respondre el ressentiment dels cercles musicals contra el compositor de vint-i-tres anys arribat de Pesaro. Una campanya antirossiniana desencadenada pels fidels de Paisiello i Zingarelli. Paisiello va afirmar que Rossini era un músic llicenciós i Zingarelli (que dirigia el Conservatori de Nàpols) va prohibir als seus alumnes d'estudiar les partitures del seu rival nòrdic.
----
Pregunta: Quants anys tenia Rossini?
Resposta: vint-i-tres
----
Pregunta: Què va afirmar Paisiello de Rossini?
Resposta: era un músic llicenciós
----
Pregunta: Quina societat secreta reclamava la unificació d'Itàlia?
Resposta:",els Carbonaris,0.0, Carbonari
"Quan Thorpe superà el rècord olímpic dels 200 m a les eliminatòries el matí següent, el seu principal rival l'holandès Pieter van den Hoogenband declarà ""No estic pensant realment en l'or. Només vull una medalla i estar present al podi"". Malgrat les declaracions l'holandès rebaixà en poc més d'un segon la seva marca personal en la seva semifinal, superant el rècord de Thorpe per només 16 centèsimes (1'45""35 min). Thorpe qualificà només 2 centèsimes més lent i es trobà sota gran pressió per guanyar l'or l'endemà després dels dos ors aconseguits la primera nit.
----
Pregunta: Quants ors va aconseguir Thorpe la primera nit?
Resposta: dos
----
Pregunta: Qui era el principal rival de Thorpe?
Resposta: Pieter van den Hoogenband
----
Pregunta: Com es trobava Thorpe per guanyar l'or l'endemà?
Resposta: sota gran pressió
----
Pregunta: Què va rebaixar Pieter van den Hoogenband en la seva semifinal?
Resposta: la seva marca personal
----
Pregunta: On volia estar present Pieter van den Hoogenband?
Resposta:",al podi,0.4, En el podi
"En tan sols nou dies, la política espanyola ha fet un tomb. Dimecres de la setmana passada, el PP va aprovar el pressupost amb el suport de Ciutadans i el PNB, però l'endemà es va publicar la sentència del cas Gürtel i avui Pedro Sánchez ha estat investit nou president del govern espanyol. Per a aconseguir-ho, ha estat clau el suport de partits sobiranistes, que han vist una oportunitat en el desallotjament de Rajoy. La urgència ha impedit de bastir cap negociació profunda, però el canvi de govern dibuixa noves hipòtesis polítiques. N'hem parlat amb representants del PDECat, ERC i Compromís. Gabriel Rufián (ERC): 'No sabem quina mena de PSOE i Pedro Sánchez ens trobarem'   —Com us sentiu?
----
Pregunta: En quants dies la política espanyola ha fet un tomb?
Resposta: nou
----
Pregunta: A qui han investit avui com a president del govern?
Resposta:",Pedro Sánchez,1.0, Pedro Sánchez
"Unes 150 persones que vivien en residències de gent gran s'han mort a Catalunya per la Covid-19, segons que ha informat la consellera de Salut, Alba Vergés. A les residències del País Valencià, la consellera de Sanitat, Ana Barceló, ha detallat que s'havien mort 44 residents. La malaltia s'ha detectat a 49 residències, amb 221 residents i 67 treballadors infectats. A més, uns 400 treballadors estan en quarantena. Les més afectades són la DomusVi d'Alcoi (26) i la Santa Elena de Torrent (9). Les residències, sense material i abocades al col·lapse A la conferència de premsa diària que se segueix de manera telemàtica, Vergés ha explicat que en aquests moments hi ha 1.406 llits per a Unitats de Cures Intensives (UCI) a Catalunya i que treballen per continuar ampliant-ne la capacitat.
----
Pregunta: Quants treballadors de les residències de gent gran han resultat infectats?
Resposta: 67
----
Pregunta: A què estan abocades les residències de gent gran?
Resposta: al col·lapse
----
Pregunta: Quantes persones han mort a les residències de gent gran al País Valencià?
Resposta:",44,1.0, 44
"La línia és operada per Ferrocarril Metropolità de Barcelona sota la marca de Transports Metropolitans de Barcelona (TMB). La L11 és un metro lleuger, a mig camí entre el tramvia i el metro convencional, servit per trens de la sèrie 500 automàtics, sense conductor i de dos vagons en comptes de cinc. Hi ha un total de dos trens en hora punta i un en hora vall, amb una freqüència de 7 minuts i 13 minuts segons l'hora. Transports Metropolitans de Barcelona té tres trens de dos vagons d'aquesta sèrie construïda per CAF. Els trens són controlats dels del Centre de Control de Metro de Barcelona al barri de la Sagrera.
----
Pregunta: Quants vagons tenen els trens de la sèrie 500?
Resposta: dos
----
Pregunta: Quants trens hi ha en hora punta?
Resposta: dos
----
Pregunta: Per qui és operada la línia?
Resposta: Ferrocarril Metropolità de Barcelona
----
Pregunta: Des d'on són controlats els trens de la sèrie 500?
Resposta:",dels del Centre de Control de Metro de Barcelona,0.0, La Sagrera
"El departament d'Interior investigarà una actuació dels antiavalots dels Mossos d'Esquadra a l'aeroport de Barcelona, on un furgó policíac va arrencar amb un manifestant enfilat a la part davantera del vehicle. Una furgoneta de @mossos circula amb dos manifestants al capó a l'aeroport del Prat. Vídeo via @anonymous. Ha estat aquest vespre enmig de les corredisses, llançaments i contundents càrregues policials. S'han cancel·lat més de 100 vols i milers de passatgers atrapats per sortir. pic.twitter.com/hNw7mhUepn — Anna Punsí (@punsix) October 14, 2019  En un informe intern, al que ha tingut accés Efe, el departament ha acordat visionar les imatges d'aquesta actuació, per 'determinar eventuals responsabilitats, d'acord amb els protocols d'actuació'.
----
Pregunta: Quants vols s'han anulat?
Resposta: més de 100
----
Pregunta: Per què ha d'examinar el departament les imatges?
Resposta: per 'determinar eventuals responsabilitats, d'acord amb els protocols d'actuació'
----
Pregunta: On va arrencar un vehicle policíac amb un manifestant al capó?
Resposta:",a l'aeroport de Barcelona,0.3333333333333333, a l'aeroport del Prat
"L'Hospital Maternoinfantil Vall d'Hebron ha marcat una fita més: al juliol va fer sis trasplantaments pediàtrics en tan sols vint-i-quatre hores (dos d'hepàtics, dos de renals, un de pulmonar i un de cardíac). No s'havia fet mai abans. 'És una fita extraordinària a qualsevol hospital, però en un de pediàtric encara ho és més', diu la doctora Teresa Pont, coordinadora de Programes de Donació i Trasplantaments del centre, que troba excepcional aquest fet. També ha volgut destacar 'la logística necessària' i el compromís de tots els professionals que hi van treballar. Segons que informa l'hospital en una nota, dos dels receptors que van rebre els òrgans trasplantats es trobaven en alerta preferent i en un dels casos van trasplantar al receptor un fetge i un ronyó. 'Tot plegat no hauria estat possible sense la comprensió i l'altruisme de les famílies dels donants', recorden.
----
Pregunta: Quants trasplantaments pediàtrics es van fer en 24 hores?
Resposta: sis
----
Pregunta: Qui coordina els Programes de Donació i Trasplantaments?
Resposta: Teresa Pont
----
Pregunta: Què s'ha necessitat per fer possibles els trasplantaments?
Resposta:",la comprensió i l'altruisme de les famílies dels donants,0.10526315789473685, El compromís de tots els professionals que hi van treballar.
"Segons les seves xifres podem comptabilitzar el nombre d'obrers que existien a Barcelona en aquell temps: dels 54.000 obrers, uns 6.500 podien considerar-se ""distingits"", això és, que podien vestir-se i educar-se bé. Els altres eren jornalers de torn. Cerdà va establir que els dies de jornal a Barcelona eren, anualment, de 269, i que el sou mitjà diari de l'obrer era de 8,55 rals. Només els més destres, generalment casats, superaven aquestes xifres salarials. Comparant els ingressos i les despeses, resulta que només un obrer col·locat en una fàbrica tèxtil, com a teixidor de primera o segona categoria, podia atendre les despeses del seu matrimoni. Però immediatament que sobrevenia la quitxalla amenaçava el dèficit, i amb ell els neguits i les preocupacions. Tot això sense comptar amb les malalties o l'accident imprevist. L'atur forçós per malaltia o accident imprevist significava la paralització dels afers i la desatenció de les despeses del matrimoni.
----
Pregunta: Quants obrers es podien considerar distingits segons Cerdà?
Resposta: 6.500
----
Pregunta: Quants dies de jornal va establir Cerdà?
Resposta: 269
----
Pregunta: Quin sou mitjà diari va establir Cerdà?
Resposta: 8,55 rals
----
Pregunta: Quins obrers superaven la xifra salarial?
Resposta:",els més destres,0.2222222222222222," El més hàbil, en general casat"
"Der Zwerg (El nan) és una òpera en un acte d'Alexander von Zemlinsky sobre un llibret de Georg C. Klaren, basat en The Birthday of the Infanta d'Oscar Wilde. L'obra va ser composta entre el 1919 i el 1921. L'estrena va ser dirigida per Otto Klemperer el 28 de maig de 1922 a l'Òpera de Colònia.
----
Pregunta: Quants actes té Der Zwerg?
Resposta: un
----
Pregunta: De qui és el llibret de Der Zwerg?
Resposta: Georg C. Klaren
----
Pregunta: Qui va compondre Der Zwerg?
Resposta: Alexander von Zemlinsky
----
Pregunta: Quan es va estrenar Der Zwerg?
Resposta:",28 de maig de 1922,0.33333333333333337, 1922
"El gènere de la farsa, més que una òpera còmica, s'ha de considerar com un recurs d'un acte que servia de ""farciment"" entre els actes d'una òpera seriosa, encara que al temps de Rossini aquest origen havia estat gairebé completament perdut. El Teatro San Moisè es va especialitzar en la farsa i, per regla general, en presentava dues en una sola nit. En qualsevol cas, L'inganno felice no és una òpera còmica, sinó una semiseria d'un sol acte, i és la precursora de Torvaldo e Dorliska i Matilde di Shabran, així com de la seva semiseria més coneguda, La gazza ladra. El terme ""semiseria"" no ha de ser entès com a ""mitjanament seriosa"" o ""mitjanament còmica"" sinó que representa el gènere del melodrama burgès o l'òpera de rescat, el subjecte de les quals es pot resumir així: que els perseguits innocents seran rescatats en l'últim minut. Aquest és el cas de L'inganno felice: l'esposa fidel és acusada injustament de la infidelitat, és repudiada, i finalment és perdonada pel marit després que tot s'hagi resolt. Rossini i el seu llibretista Foppa van recuperar aquesta temàtica de nou en l'òpera Sigismondo, encara que amb molt menys èxit.
----
Pregunta: Quants actes té L'inganno felice?
Resposta: un
----
Pregunta: En què es va especialitzar el Teatro San Moisè?
Resposta: en la farsa
----
Pregunta: De què acusen injustament a l'esposa fidel a l'òpera?
Resposta: infidelitat
----
Pregunta: A què es refereix el terme semiseria?
Resposta:",melodrama burgès o l'òpera de rescat,0.5, melodrama burgès
"No obstant això, amb l'ajut dels enginyers francesos, es van modernitzar els mètodes des treball, construint màquines de vapor, dragues i excavadores que ajudarien en les obres; de manera que ja no seria necessari aconseguir una gran quantitat de mà d'obra local i es reduïa considerablement el treball de pic i pala. A més es va aconseguir reclutar 15.000 nous treballadors de diversos llocs com França, Itàlia, Dalmàcia, Síria i Aràbia, que ajudarien a reprendre les obres durant l'agost de 1866. Amb aquesta ajuda es va poder accelerar el projecte i finalment el 30 d'octubre de 1869 s'unirien les aigües d'ambdós mars just en el Gran Llac Amarg, a la meitat del camí. Ferdinand va navegar els 195 km del canal entre Port Saïd (batejat en honor del seu amic) fins a la ciutat de Suez en 15 hores.
----
Pregunta: Quants nous treballadors es van reclutar?
Resposta: 15.000
----
Pregunta: Com es van modernitzar els mètodes de treball?
Resposta: construint màquines de vapor, dragues i excavadores
----
Pregunta: Quin treball es reduiria en utilitzar màquines de vapor, dragues i excavadores?
Resposta: de pic i pala
----
Pregunta: D'on provenien els 15.000 treballadors nous que es van reclutar?
Resposta:","de diversos llocs com França, Itàlia, Dalmàcia, Síria i Aràbia",0.7499999999999999," França, Itàlia, Dalmàcia, Síria i Aràbia"
"Un autobús de la línia 77 del servei de transport públic de Londres s'ha estavellat aquest dijous contra una botiga en Wandsworth, en un incident que, pel que sembla, seria un accident de trànsit, segons han informat els serveis d'emergència de la capital britànica. La Policia Metropolitana ha informat en un comunicat que el succés ha tingut lloc al voltant de les 7.00 (hora local), per raons que encara es desconeixen. Sis passatgers han resultat ferits i han hagut de ser atesos en el lloc, mentre que el conductor ha estat traslladat a un hospital. El Departament de Bombers ha indicat que en aquests moments hi ha dues persones atrapades a l'interior del vehicle, de dos pisos. El trànsit ha quedat tallat en aquesta zona del sud-oest de Londres, d'acord amb els mitjans de comunicació britànics.
----
Pregunta: Quants passatgers han resultat ferits en estavellar-se l'autobús de la línia 77 contra una botiga?
Resposta: Sis
----
Pregunta: Contra què s'ha estavellat un autobús de la línia 77?
Resposta: contra una botiga
----
Pregunta: On han dut al conductor de l'autobús que s'ha estavellat?
Resposta:",a un hospital,1.0, A un hospital
"El nombre d'aturats registra un descens a les Balears i puja al Principat i al País Valencià. A les Illes l'atur baixa el gener en 2.503 persones respecte al mateix mes de l'any passat, la qual cosa suposa un descens del 3,99%. La xifra d'aturats en el primer mes de l'any és de 60.216, segons dades del ministeri de Treball espanyol. Si es compara el gener d'enguany amb el desembre passat, la desocupació va créixer a les illes un 0,56%, és a dir, 338 persones més sense treball. Les Balears són l'únic territori del país on l'atur registra un descens. Tant el Principat com el País Valencià han registrat un augment durant el primer mes del 2019.
----
Pregunta: Quants aturats hi ha hagut al gener?
Resposta: 60.216
----
Pregunta: Quants aturats menys hi ha a les Illes?
Resposta:",2.503,1.0, 2.503
"La sala d'apel·lacions del Tribunal Suprem espanyol ha desestimat els recursos presentats per les defenses d'Oriol Junqueras, Jordi Turull, Josep Rull, Raül Romeva i Jordi Sànchez, de manera que manté la suspensió de funcions públiques de tots cinc dictada pel jutge Pablo Llarena. Els va suspendre com a diputats d'acord amb l'article 384 bis de la llei d'enjudiciament criminal, una vegada la interlocutòria de processament per rebel·lió era ferma i tenien decretada la presó provisional. Els advocats van recórrer contra la decisió perquè consideraven que el terme 'individus rebels' no es podia aplicar als presos polítics, atès que hi havia resolucions del Tribunal Constitucional espanyol que l'aplicaven a membres de bandes armades. Però segons la sala, una vegada estudiada la doctrina del TC, el concepte no es pot aplicar només a delictes comesos per bandes armades. Els magistrats que revisen les decisions de Llarena defensen que la suspensió no és 'discrecional', sinó que és prevista a la llei. Els tres magistrats que integren la sala d'apel·lacions han rebutjat els recursos i mantenen que tots cinc presos han de continuar suspesos de les seves funcions, una situació que també afecta Carles Puigdemont.
----
Pregunta: Quants magistrats formen part de la sala d'apel·lacions?
Resposta: tres
----
Pregunta: A qui s'aplica el concepte 'individus rebels' en les resolucions del Tribunal Constitucional espanyol?
Resposta: a membres de bandes armades
----
Pregunta: Atenent a quin article el jutge Llarena va suspendre Oriol Junqueras per a l'exercici de la funció pública?
Resposta:",384 bis de la llei d'enjudiciament criminal,0.7999999999999999, article 384 bis de la Llei d'enjudiciament penal
"El metro té 270 estacions i aproximadament 400 km de vies (250 milles). És la major xarxa de metro del món pel que fa a quilòmetres de vies i nombre d'estacions. El 2007 es van registrar mil milions de passatgers.
----
Pregunta: Quants quilòmetres de via té?
Resposta: 400
----
Pregunta: On es situa aquesta xarxa a nivell mundial?
Resposta: És la major xarxa de metro del món
----
Pregunta: Quantes estacions hi ha?
Resposta:",270,1.0, 270
"El rei Enric II va disposar la creació de dotze capellanies perpètues, dedicades a la celebració de misses i oracions diàries per la seva ànima; cada capellà rebria 4.500 morabatins anuals. El 1382, Joan I va ampliar aquest privilegi amb un total de vint-i-cinc capellanies i amb més dotació econòmica per als capellans, sagristans i guardes; també fixà directrius per a l'elecció del capellà major de Reyes Nuevos. Enric III, seguint la norma establerta pels seus antecessors, també fundà set capellanies noves, encara que pel gran nombre de capellans amb obligació de dir missa diària no era possible de satisfer; solament se'n van afegir dues de noves, ja que amb les set noves la institució hagués augmentat en prop d'un terç més. La resta de les capellanies que es van fundar foren: dues al monestir de San Francisco de Toledo i les altres tres distribuïdes entre els monestirs de San Pablo, San Agustín i Santa María del Carmen.
----
Pregunta: Quants morabatins anuals rebia cada capella?
Resposta: 4.500
----
Pregunta: Qui va ampliar les capellanies a vint-i-cinc?
Resposta: Joan I
----
Pregunta: A què es dedicaven les capellanies perpètues?
Resposta: a la celebració de misses i oracions diàries per la seva ànima
----
Pregunta: Quantes capellanies noves va fundar Enric III?
Resposta:",set,0.0, 2
"La baixa inversió econòmica a l'hora de realitzar tractaments de bioremedació de radionúclids és un dels motius principals pels quals es duen a terme cada cop amb major recurrència. L'avaluació de costos, comparada amb les estratègies convencionals de tipus abiòtic, resulta extremadament favorable. Els procediments clàssics —extraccions de sòls, bombeigs d'aigües, perforacions i excavacions, cobertures amb asfalt, intercanvis iònics, etc.— i el consegüent transport obligat dels grans volums de residus a cementiris nuclears tenen costs d'operació no efectius que s'estima que podrien superar els 50 milions de lliures al Regne Unit i que als EUA, amb uns 350 projectes d'aquest tipus en marxa i sense contemplar cap contratemps tècnic, podrien assolir els 300 mil milions de dòlars.
----
Pregunta: Quants projectes hi ha en marxa als EUA?
Resposta: 350
----
Pregunta: Com és la inversió econòmica per realitzar tractaments de bioremedació de radionúclids?
Resposta: baixa
----
Pregunta: Què resulta extremadament favorable?
Resposta: L'avaluació de costos
----
Pregunta: Què és du a terme cada cop amb major recurrència?
Resposta: tractaments de bioremedació de radionúclids
----
Pregunta: Quin cost s'estima al Regne Unit que podria superar el transport dels residus?
Resposta:",50 milions de lliures,1.0, 50 milions de lliures
