context,prompt,answer
"Teachers in Wales can be registered members of trade unions such as ATL, NUT or NASUWT and reports in recent years suggest that the average age of teachers in Wales is falling with teachers being younger than in previous years. A growing cause of concern are that attacks on teachers in Welsh schools which reached an all-time high between 2005 and 2010.","Teachers in Wales can be registered members of trade unions such as ATL, NUT or NASUWT and reports in recent years suggest that the average age of teachers in Wales is falling with teachers being younger than in previous years. A growing cause of concern are that attacks on teachers in Welsh schools which reached an all-time high between 2005 and 2010.
----
Question: When were attacks on teachers the highest?
Response: ['between 2005 and 2010']
----
Question: In what year did ENR compile data in nine market segments?
Response: ['2014']
----
Question: Where does the Middle Rhine flow between Bingen and Bonn?
Response: ['Rhine Gorge']
----
Question: Ediacaran eoandromeda can be regarded to represent what?
Response: ",comb jelly.
"In 1891 Scottish chemist James Dewar was able to produce enough liquid oxygen to study. The first commercially viable process for producing liquid oxygen was independently developed in 1895 by German engineer Carl von Linde and British engineer William Hampson. Both men lowered the temperature of air until it liquefied and then distilled the component gases by boiling them off one at a time and capturing them. Later, in 1901, oxyacetylene welding was demonstrated for the first time by burning a mixture of acetylene and compressed O
2. This method of welding and cutting metal later became common.","In 1891 Scottish chemist James Dewar was able to produce enough liquid oxygen to study. The first commercially viable process for producing liquid oxygen was independently developed in 1895 by German engineer Carl von Linde and British engineer William Hampson. Both men lowered the temperature of air until it liquefied and then distilled the component gases by boiling them off one at a time and capturing them. Later, in 1901, oxyacetylene welding was demonstrated for the first time by burning a mixture of acetylene and compressed O
2. This method of welding and cutting metal later became common.
----
Question: When was liquid oxygen developed for commercial use?
Response: ['1895']
----
Question: There are other categories for what?
Response: ['construction service firms (e.g., engineering, architecture) and construction managers']
----
Question: How long did the fighting last in Seven Years War?
Response: ['six years']
----
Question: What was the period called that was 505 million years ago?
Response: ",mid-Cambrian period
"There were 158,349 households, of which 68,511 (43.3%) had children under the age of 18 living in them, 69,284 (43.8%) were opposite-sex married couples living together, 30,547 (19.3%) had a female householder with no husband present, 11,698 (7.4%) had a male householder with no wife present. There were 12,843 (8.1%) unmarried opposite-sex partnerships, and 1,388 (0.9%) same-sex married couples or partnerships. 35,064 households (22.1%) were made up of individuals and 12,344 (7.8%) had someone living alone who was 65 years of age or older. The average household size was 3.07. There were 111,529 families (70.4% of all households); the average family size was 3.62.","There were 158,349 households, of which 68,511 (43.3%) had children under the age of 18 living in them, 69,284 (43.8%) were opposite-sex married couples living together, 30,547 (19.3%) had a female householder with no husband present, 11,698 (7.4%) had a male householder with no wife present. There were 12,843 (8.1%) unmarried opposite-sex partnerships, and 1,388 (0.9%) same-sex married couples or partnerships. 35,064 households (22.1%) were made up of individuals and 12,344 (7.8%) had someone living alone who was 65 years of age or older. The average household size was 3.07. There were 111,529 families (70.4% of all households); the average family size was 3.62.
----
Question: What was the average household size?
Response: ['3.07']
----
Question: What can the growth elasticity of poverty depend on?
Response: ['existing level of inequality']
----
Question: What philosophies underlay Chinese medicine?
Response: ['yin-yang and wuxing']
----
Question: How many species were found in the Burgess Shale?
Response: ",Three
"Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation.","Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation.
----
Question: What actress did the ASL translation for the game?
Response: ['Marlee Matlin']
----
Question: What is the approximate condenser temperature in a turbine?
Response: ['30 °C']
----
Question: WHen did ARPNET and SITA become operational
Response: ['1969']
----
Question: What did the  fossils found in the Burgess Shale lack?
Response: ",tentacles
"Western medicine was also practiced in China by the Nestorian Christians of the Yuan court, where it was sometimes labeled as huihui or Muslim medicine. The Nestorian physician Jesus the Interpreter founded the Office of Western Medicine in 1263 during the reign of Kublai. Huihui doctors staffed at two imperial hospitals were responsible for treating the imperial family and members of the court. Chinese physicians opposed Western medicine because its humoral system contradicted the yin-yang and wuxing philosophy underlying traditional Chinese medicine. No Chinese translation of Western medical works is known, but it is possible that the Chinese had access to Avicenna's The Canon of Medicine.","Western medicine was also practiced in China by the Nestorian Christians of the Yuan court, where it was sometimes labeled as huihui or Muslim medicine. The Nestorian physician Jesus the Interpreter founded the Office of Western Medicine in 1263 during the reign of Kublai. Huihui doctors staffed at two imperial hospitals were responsible for treating the imperial family and members of the court. Chinese physicians opposed Western medicine because its humoral system contradicted the yin-yang and wuxing philosophy underlying traditional Chinese medicine. No Chinese translation of Western medical works is known, but it is possible that the Chinese had access to Avicenna's The Canon of Medicine.
----
Question: When was the Office of Western Medicine founded?
Response: ['1263']
----
Question: What did the Islamic State proclaim itself in 2014?
Response: ['a caliphate']
----
Question: When did British begin to build fort under William Trent?
Response: ['1754']
----
Question: How are pharmacists regulated in most jurisdictions?
Response: ",separately from physicians
"It is tempting to think that the notion of function problems is much richer than the notion of decision problems. However, this is not really the case, since function problems can be recast as decision problems. For example, the multiplication of two integers can be expressed as the set of triples (a, b, c) such that the relation a × b = c holds. Deciding whether a given triple is a member of this set corresponds to solving the problem of multiplying two numbers.","It is tempting to think that the notion of function problems is much richer than the notion of decision problems. However, this is not really the case, since function problems can be recast as decision problems. For example, the multiplication of two integers can be expressed as the set of triples (a, b, c) such that the relation a × b = c holds. Deciding whether a given triple is a member of this set corresponds to solving the problem of multiplying two numbers.
----
Question: If two integers are multiplied and output a value, what is this expression set called?
Response: ['set of triples']
----
Question: Which French kind issued this declaration?
Response: ['Louis XIV']
----
Question: In what year was there an attempt to withdraw the UMC membership?
Response: ['2012']
----
Question: Who do most jurisdictions say can give scheduled drugs to the public?
Response: ",only pharmacists
"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.
----
Question: Who won Super Bowl XLIX?
Response: ['New England Patriots']
----
Question: Which company was tasked with trying to restore the original tapes?
Response: ['Lowry Digital']
----
Question: Which department houses the works on paper of the costume collection?
Response: ['Word and Image']
----
Question: What body has stated that physicians can also dispense drugs under specific conditions?
Response: ",the American Medical Association (AMA)
"However, his religious views remain uncertain due to other statements that he made. For example, in his article, ""A Machine to End War"", published in 1937, Tesla stated:","However, his religious views remain uncertain due to other statements that he made. For example, in his article, ""A Machine to End War"", published in 1937, Tesla stated:
----
Question: Because of certain statements what was the believed state of his religious views?
Response: ['uncertain']
----
Question: What is the name of the alphabet is most commonly used in a problem instance?
Response: ['binary']
----
Question: When did Greenland sign a Treaty granting them special status?
Response: ['1985']
----
Question: What is the estimate of how many physicians give out drugs on their own?
Response: ",7 to 10 percent
"Grissom, White, and Chaffee decided to name their flight Apollo 1 as a motivational focus on the first manned flight. They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center. A ""plugs-out"" test was planned for January, which would simulate a launch countdown on LC-34 with the spacecraft transferring from pad-supplied to internal power. If successful, this would be followed by a more rigorous countdown simulation test closer to the February 21 launch, with both spacecraft and launch vehicle fueled.","Grissom, White, and Chaffee decided to name their flight Apollo 1 as a motivational focus on the first manned flight. They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center. A ""plugs-out"" test was planned for January, which would simulate a launch countdown on LC-34 with the spacecraft transferring from pad-supplied to internal power. If successful, this would be followed by a more rigorous countdown simulation test closer to the February 21 launch, with both spacecraft and launch vehicle fueled.
----
Question: Who was the main crew of Apollo 1, of which they named themselves?
Response: ['Grissom, White, and Chaffee']
----
Question: Why is the second timeline needed?
Response: ['compresses the most recent era']
----
Question: Who authored the Liber servitoris?
Response: ['Abu al-Qasim al-Zahrawi']
----
Question: What are pharmacists forbidden to do?
Response: ","form business partnerships with physicians or give them ""kickback"" payments"
"Historically, Victoria has been the base for the manufacturing plants of the major car brands Ford, Toyota and Holden; however, closure announcements by all three companies in the 21st century will mean that Australia will no longer be a base for the global car industry, with Toyota's statement in February 2014 outlining a closure year of 2017. Holden's announcement occurred in May 2013, followed by Ford's decision in December of the same year (Ford's Victorian plants—in Broadmeadows and Geelong—will close in October 2016).","Historically, Victoria has been the base for the manufacturing plants of the major car brands Ford, Toyota and Holden; however, closure announcements by all three companies in the 21st century will mean that Australia will no longer be a base for the global car industry, with Toyota's statement in February 2014 outlining a closure year of 2017. Holden's announcement occurred in May 2013, followed by Ford's decision in December of the same year (Ford's Victorian plants—in Broadmeadows and Geelong—will close in October 2016).
----
Question: What type of manufacturing plant is Victoria soon losing?
Response: ['major car brands']
----
Question: ENR used data on what to rank Top 400 firms as heavy contractors?
Response: ['transportation, sewer, hazardous waste and water']
----
Question: What are malum prohibitum considerations?
Response: ['things that are a matter of custom or expectation']
----
Question: What is the dispensary subject to in a majority of countries?
Response: ",pharmacy legislation
"On 8 February 2007, BSkyB announced its intention to replace its three free-to-air digital terrestrial channels with four subscription channels. It was proposed that these channels would offer a range of content from the BSkyB portfolio including sport (including English Premier League Football), films, entertainment and news. The announcement came a day after Setanta Sports confirmed that it would launch in March as a subscription service on the digital terrestrial platform, and on the same day that NTL's services re-branded as Virgin Media. However, industry sources believe BSkyB will be forced to shelve plans to withdraw its channels from Freeview and replace them with subscription channels, due to possible lost advertising revenue.","On 8 February 2007, BSkyB announced its intention to replace its three free-to-air digital terrestrial channels with four subscription channels. It was proposed that these channels would offer a range of content from the BSkyB portfolio including sport (including English Premier League Football), films, entertainment and news. The announcement came a day after Setanta Sports confirmed that it would launch in March as a subscription service on the digital terrestrial platform, and on the same day that NTL's services re-branded as Virgin Media. However, industry sources believe BSkyB will be forced to shelve plans to withdraw its channels from Freeview and replace them with subscription channels, due to possible lost advertising revenue.
----
Question: What were NTL's services rebranded as?
Response: ['Virgin Media']
----
Question: In 1785 James Hutton presented what paper to the Royal Society of Edinburgh?
Response: ['Theory of the Earth']
----
Question: What tribes were the Romans fearful would invade from the North?
Response: ['Pictish']
----
Question: What responsibilities were pharmacy technicians formerly limited to?
Response: ",within the dispensary compounding/dispensing medications
"Environmentalists are concerned about loss of biodiversity that will result from destruction of the forest, and also about the release of the carbon contained within the vegetation, which could accelerate global warming. Amazonian evergreen forests account for about 10% of the world's terrestrial primary productivity and 10% of the carbon stores in ecosystems—of the order of 1.1 × 1011 metric tonnes of carbon. Amazonian forests are estimated to have accumulated 0.62 ± 0.37 tons of carbon per hectare per year between 1975 and 1996.","Environmentalists are concerned about loss of biodiversity that will result from destruction of the forest, and also about the release of the carbon contained within the vegetation, which could accelerate global warming. Amazonian evergreen forests account for about 10% of the world's terrestrial primary productivity and 10% of the carbon stores in ecosystems—of the order of 1.1 × 1011 metric tonnes of carbon. Amazonian forests are estimated to have accumulated 0.62 ± 0.37 tons of carbon per hectare per year between 1975 and 1996.
----
Question: What amount of the worlds carbon is stored in the Amazon forest?
Response: ['10%']
----
Question: Who authored the Liber servitoris?
Response: ['Abu al-Qasim al-Zahrawi']
----
Question: There were many Mongols with what unexpected status?
Response: ['lived in poverty and were ill treated']
----
Question: What do pharmacy technicians depend on more and more?
Response: ",automation
"The efficiency of a Rankine cycle is usually limited by the working fluid. Without the pressure reaching supercritical levels for the working fluid, the temperature range the cycle can operate over is quite small; in steam turbines, turbine entry temperatures are typically 565 °C (the creep limit of stainless steel) and condenser temperatures are around 30 °C. This gives a theoretical Carnot efficiency of about 63% compared with an actual efficiency of 42% for a modern coal-fired power station. This low turbine entry temperature (compared with a gas turbine) is why the Rankine cycle is often used as a bottoming cycle in combined-cycle gas turbine power stations.[citation needed]","The efficiency of a Rankine cycle is usually limited by the working fluid. Without the pressure reaching supercritical levels for the working fluid, the temperature range the cycle can operate over is quite small; in steam turbines, turbine entry temperatures are typically 565 °C (the creep limit of stainless steel) and condenser temperatures are around 30 °C. This gives a theoretical Carnot efficiency of about 63% compared with an actual efficiency of 42% for a modern coal-fired power station. This low turbine entry temperature (compared with a gas turbine) is why the Rankine cycle is often used as a bottoming cycle in combined-cycle gas turbine power stations.[citation needed]
----
Question: What is the approximate condenser temperature in a turbine?
Response: ['30 °C']
----
Question: What was the percentage of a female householder with no husband present?
Response: ['19.3%']
----
Question: Elders in full connection are each a member of what?
Response: ['Annual Conference Order of Elders']
----
Question: What are new responsibilities pharmacy technicians now deal with?
Response: ",patients' prescriptions and patient safety issues
"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.
----
Question: Who did the Broncos beat tp become the AFC champions?
Response: ['New England Patriots']
----
Question: In 1972, did Norway end up joining the European Union?
Response: ['not']
----
Question: How many metric tons of carbon are believed to be stored in the Amazon forest?
Response: ['1.1 × 1011']
----
Question: What does pharmacy legislation mandate?
Response: ","storage conditions, compulsory texts, equipment, etc."
